,mnc,rating,reviews
1,TCS,3.3,(1.2L)
2,Accenture,3.7,(74.8k)
3,Wipro,3.6,(66.1k)
4,Cognizant,3.7,(62.4k)
5,Capgemini,3.6,(54.5k)
6,HDFC Bank,3.8,(53.5k)
7,Infosys,3.5,(49.7k)
8,HCLTech,3.4,(46.8k)
9,ICICI Bank,3.9,(46.6k)
10,Tech Mahindra,3.3,(44k)
11,Genpact,3.6,(43.2k)
12,TP,3.9,(39.4k)
13,Jio,4.4,(33.9k)
14,Axis Bank,3.6,(33.9k)
15,Concentrix Corporation,3.6,(32.8k)
16,Amazon,3.9,(32.2k)
17,Reliance Retail,3.9,(27.7k)
18,iEnergizer,4.6,(27.4k)
19,LTIMindtree,3.6,(26.9k)
20,IBM,3.9,(26.1k)
21,HDB Financial Services,3.9,(26.1k)
22,Larsen & Toubro Limited,3.9,(24.3k)
23,Deloitte,3.6,(23.8k)
24,Kotak Mahindra Bank,3.6,(22.9k)
25,Reliance Industries,4.0,(20.5k)
26,Vodafone Idea,3.9,(17.8k)
27,Bharti Airtel,3.8,(17.3k)
28,BYJU'S,3.2,(16.4k)
29,WNS,3.3,(15.5k)
30,IDFC FIRST Bank,4.0,(15.1k)
31,Ernst & Young,3.4,(14.9k)
32,IndusInd Bank,3.4,(14.5k)
33,AU Small Finance Bank,3.8,(14.5k)
34,Tata Motors,4.1,(14.4k)
35,Bajaj Finserv,3.9,(13.5k)
36,Muthoot FinCorp,4.5,(13.3k)
37,Flipkart,3.9,(13.2k)
38,PwC,3.3,(13k)
39,HDFC Life,3.8,(12.3k)
40,Mahindra & Mahindra,4.0,(12.3k)
41,Infosys BPM,3.5,(12.3k)
42,DXC Technology,3.6,(12.2k)
43,Bandhan Bank,3.7,(11.5k)
44,Digitide Solutions,3.5,(10.5k)
45,Yes Bank,3.7,(10.4k)
46,Mphasis,3.3,(10.4k)
47,Tata Steel,4.0,(10.1k)
48,Quess,3.8,(9.9k)
49,Asian Paints,3.9,(9.8k)
50,UltraTech Cement,4.1,(9.7k)
51,Startek,3.0,(9.7k)
52,Maruti Suzuki,4.1,(9.7k)
53,Paytm,3.2,(9.5k)
54,Bajaj Finance,3.9,(9.4k)
55,Shriram Finance,3.9,(9.3k)
56,Sutherland Global Services,3.3,(9.2k)
57,Coforge,3.3,(9k)
58,Equitas Small Finance Bank,4.3,(9k)
59,Wells Fargo,3.6,(8.9k)
60,Cipla,4.1,(8.8k)
61,EXL Service,3.6,(8.7k)
62,Ericsson,3.9,(8.5k)
63,Samsung,3.9,(8.4k)
64,Dr. Reddy's,4.0,(8.4k)
65,Optum Global Solutions,4.0,(8.1k)
66,JSW Steel,3.9,(8.1k)
67,Delhivery,3.8,(8k)
68,JPMorgan Chase & Co.,3.8,(8k)
69,ICICI Prudential Life Insurance,3.9,(7.9k)
70,Hexaware Technologies,3.4,(7.8k)
71,Ujjivan Small Finance Bank,4.0,(7.8k)
72,Jana Small Finance Bank,3.7,(7.8k)
73,Sun Pharmaceutical Industries,4.1,(7.8k)
74,Zydus Lifesciences,4.0,(7.7k)
75,Ekart Logistics,3.9,(7.6k)
76,HGS,3.7,(7.6k)
77,Amazon Development Centre India,3.8,(7.5k)
78,KPMG India,3.4,(7.5k)
79,Lupin,4.1,(7.5k)
80,Axis Max Life Insurance,4.0,(7.4k)
81,L&T Construction,4.0,(7.3k)
82,ITC,3.9,(7.3k)
83,Hindustan Unilever,4.2,(7.3k)
84,Megha Engineering & Infrastructures,3.9,(7.1k)
85,Tata Projects,4.2,(7k)
86,Cholamandalam Investment & Finance,3.8,(6.8k)
87,Bajaj Life Insurance,3.8,(6.8k)
88,L&T Technology Services,3.1,(6.8k)
89,FIS,3.8,(6.7k)
90,Oracle,3.3,(6.6k)
91,Omega Healthcare,3.7,(6.6k)
92,JLL,4.1,(6.6k)
93,Muthoot Finance,3.7,(6.5k)
94,IIFL Finance,4.0,(6.5k)
95,eClerx,3.1,(6.5k)
96,Indian Army,4.7,(6.3k)
