,Ranking,Movie,Release Year,Star Rating,Review Count,Licence Category,Movie Length 
0,#1,The Shawshank Redemption,1994,9.3,(3.2M),2h 22m,R
1,#2,The Godfather,1972,9.2,(2.2M),2h 55m,R
2,#3,The Dark Knight,2008,9.1,(3.2M),2h 32m,PG-13
3,#4,The Godfather Part II,1974,9.0,(1.5M),3h 22m,R
4,#5,12 Angry Men,1957,9.0,(988K),1h 36m,Approved
5,#6,The Lord of the Rings: The Return of the King,2003,9.0,(2.2M),3h 21m,PG-13
6,#7,Schindler's List,1993,9.0,(1.6M),3h 15m,R
7,#8,The Lord of the Rings: The Fellowship of the Ring,2001,8.9,(2.2M),2h 58m,PG-13
8,#9,Pulp Fiction,1994,8.8,(2.4M),2h 34m,R
9,#10,"The Good, the Bad and the Ugly",1966,8.8,(893K),2h 58m,R
10,#11,The Lord of the Rings: The Two Towers,2002,8.8,(2M),2h 59m,PG-13
11,#12,Forrest Gump,1994,8.8,(2.5M),2h 22m,PG-13
12,#13,Fight Club,1999,8.8,(2.6M),2h 19m,R
13,#14,Inception,2010,8.8,(2.8M),2h 28m,PG-13
14,#15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,(1.5M),2h 4m,PG
15,#16,The Matrix,1999,8.7,(2.3M),2h 16m,R
16,#17,Interstellar,2014,8.7,(2.5M),2h 49m,PG-13
17,#18,GoodFellas,1990,8.7,(1.4M),2h 25m,R
18,#19,One Flew Over the Cuckoo's Nest,1975,8.6,(1.2M),2h 13m,R
19,#20,Seven,1995,8.6,(2M),2h 7m,R
20,#21,It's a Wonderful Life,1946,8.6,(555K),2h 10m,PG
21,#22,The Silence of the Lambs,1991,8.6,(1.7M),1h 58m,R
22,#23,Saving Private Ryan,1998,8.6,(1.6M),2h 49m,R
23,#24,Seven Samurai,1954,8.6,(403K),3h 27m,Not Rated
24,#25,The Green Mile,1999,8.6,(1.6M),3h 9m,R
25,#26,City of God,2002,8.6,(874K),2h 10m,R
26,#27,Life Is Beautiful,1997,8.6,(815K),1h 56m,PG-13
27,#28,Terminator 2: Judgment Day,1991,8.6,(1.3M),2h 17m,R
28,#29,Back to the Future,1985,8.5,(1.5M),1h 56m,PG
29,#30,Star Wars: Episode IV - A New Hope,1977,8.6,(1.6M),2h 1m,PG
30,#31,Kill Bill: The Whole Bloody Affair,2004,8.7,(45K),4h 13m,Not Rated
31,#32,Spirited Away,2001,8.6,(972K),2h 4m,PG
32,#33,Gladiator,2000,8.5,(1.9M),2h 35m,R
33,#34,The Pianist,2002,8.5,(1M),2h 30m,R
34,#35,Parasite,2019,8.5,(1.2M),2h 12m,R
35,#36,Grave of the Fireflies,1988,8.5,(389K),1h 28m,Not Rated
36,#37,Psycho,1960,8.5,(788K),1h 49m,R
37,#38,Harakiri,1962,8.6,(92K),2h 13m,Not Rated
38,#39,The Lion King,1994,8.5,(1.3M),1h 28m,G
39,#40,The Departed,2006,8.5,(1.6M),2h 31m,R
40,#41,Whiplash,2014,8.5,(1.2M),1h 46m,R
41,#42,The Prestige,2006,8.5,(1.6M),2h 10m,PG-13
42,#43,American History X,1998,8.5,(1.3M),1h 59m,R
43,#44,Léon: The Professional,1994,8.5,(1.4M),1h 50m,R
44,#45,Spider-Man: Across the Spider-Verse,2023,8.5,(532K),2h 20m,PG
45,#46,Cinema Paradiso,1988,8.5,(318K),2h 54m,PG
46,#47,Casablanca,1942,8.5,(656K),1h 42m,PG
47,#48,The Intouchables,2011,8.5,(1M),1h 52m,R
48,#49,The Usual Suspects,1995,8.5,(1.2M),1h 46m,R
49,#50,Django Unchained,2012,8.5,(1.9M),2h 45m,R
50,#51,Alien,1979,8.4,(1.1M),1h 57m,R
51,#52,Rear Window,1954,8.4,(570K),1h 52m,PG
52,#53,Modern Times,1936,8.5,(286K),1h 27m,G
53,#54,Once Upon a Time in the West,1968,8.5,(385K),2h 25m,PG-13
54,#55,City Lights,1931,8.5,(217K),1h 27m,G
55,#56,WALL·E,2008,8.4,(1.3M),1h 38m,G
56,#57,Apocalypse Now,1979,8.4,(772K),2h 27m,R
