,Ranking,Movie,Release Year,Star Rating,Review Count,Licence Category,Show Type 
0,#1,Breaking Bad,2008–2013,9.5,(2.6M),TV-MA,TV Series
1,#2,Planet Earth II,2016,9.4,(176K),TV-G,TV Mini Series
2,#3,Planet Earth,2006,9.4,(236K),TV-PG,TV Mini Series
3,#4,Band of Brothers,2001,9.4,(597K),TV-MA,TV Mini Series
4,#5,Chernobyl,2019,9.3,(1M),TV-MA,TV Mini Series
5,#6,The Wire,2002–2008,9.3,(433K),TV-MA,TV Series
6,#7,Avatar: The Last Airbender,2005–2008,9.3,(446K),TV-Y7-FV,TV Series
7,#8,The Sopranos,1999–2007,9.2,(584K),TV-MA,TV Series
8,#9,Blue Planet II,2017,9.3,(58K),TV-G,TV Mini Series
9,#10,Cosmos: A Spacetime Odyssey,2014,9.2,(140K),TV-PG,TV Mini Series
10,#11,Cosmos,1980,9.3,(53K),TV-PG,TV Mini Series
11,#12,Our Planet,2019–2023,9.2,(63K),TV-PG,TV Series
12,#13,Game of Thrones,2011–2019,9.2,(2.6M),TV-MA,TV Series
13,#14,Bluey,2018–,9.3,(48K),TV-Y,TV Series
14,#15,The World at War,1973–1974,9.2,(38K),TV-PG,TV Series
15,#16,Fullmetal Alchemist: Brotherhood,2009–2010,9.1,(251K),TV-14,TV Series
16,#17,Attack on Titan,2013–2023,9.1,(726K),TV-MA,TV Series
17,#18,Life,2009,9.1,(50K),TV-G,TV Mini Series
18,#19,The Last Dance,2020,9.0,(182K),TV-MA,TV Mini Series
19,#20,The Twilight Zone,1959–1964,9.0,(109K),TV-PG,TV Series
20,#21,The Vietnam War,2017,9.1,(37K),TV-MA,TV Mini Series
21,#22,Rick and Morty,2013–,9.0,(700K),TV-MA,TV Series
22,#23,Sherlock,2010–2017,9.0,(1.1M),TV-14,TV Series
23,#24,Batman: The Animated Series,1992–1995,9.0,(138K),TV-PG,TV Series
24,#25,Better Call Saul,2015–2022,9.0,(844K),TV-MA,TV Series
25,#26,The Office,2005–2013,9.0,(838K),TV-14,TV Series
26,#27,Arcane,2021–2024,9.0,(448K),TV-14,TV Series
27,#28,The Blue Planet,2001,9.0,(51K),TV-G,TV Mini Series
28,#29,Clarkson's Farm,2021–,9.0,(88K),TV-PG,TV Series
29,#30,Hunter X Hunter,2011–2014,9.0,(198K),TV-14,TV Series
30,#31,Scam 1992: The Harshad Mehta Story,2020,9.2,(174K),TV-14,TV Mini Series
31,#32,Frozen Planet,2011–2012,9.0,(40K),TV-PG,TV Mini Series
32,#33,Only Fools and Horses,1981–2003,9.0,(66K),TV-PG,TV Series
33,#34,Human Planet,2011,9.0,(34K),TV-PG,TV Mini Series
34,#35,The Beatles Anthology,1995–1996,9.1,(11K),TV-14,TV Mini Series
35,#36,Dexter: Resurrection,2025–,9.0,(147K),TV-MA,TV Series
